point,bi_ns,f,client,wall_s,qps,t_cpu_s,t_eng_s,eng_dist_per_q,eng_hops_per_q,exec_ms_per_q,eng_misses_per_q,recall,dump_vs_engref
e1pp_b250_f000,250,0,avx,208.333,4.8,,,4706.4,114.4,208.4,4299.5,0.9720,identical
e1pp_b250_f025s,250,0.25,scalar,163.817,6.1,56.880,163.789,4705.6,114.4,218.3,4295.9,0.9720,identical
e1pp_b250_f050,250,0.5,avx,114.451,8.7,111.585,114.422,4726.7,114.6,228.6,4224.4,0.9720,identical
e1pp_b250_f065,250,0.65,avx,142.798,7.0,142.797,81.250,4736.2,114.9,231.9,4328.9,0.9720,identical
e1pp_b250_f075,250,0.75,avx,165.568,6.0,165.566,60.670,4744.2,115.0,242.5,4330.3,0.9720,identical
e1pp_b250_f100,250,1,avx,217.391,4.6,,,,,,,0.9720,identical
e1pp_b500_f000r,500,0,avx,204.082,4.9,,,4706.4,114.4,206.0,4254.4,0.9720,identical
e1pp_b500_f025v2,500,0.25,avx,161.589,6.2,54.946,161.563,4705.6,114.4,215.3,4292.5,0.9720,identical
e1pp_b500_f050,500,0.5,avx,110.220,9.1,108.288,110.180,4726.7,114.6,220.1,4289.9,0.9720,identical
e1pp_b500_f065,500,0.65,avx,142.672,7.0,142.671,77.763,4736.2,114.9,221.9,4320.3,0.9720,identical
e1pp_b500_f075,500,0.75,avx,164.065,6.1,164.063,56.274,4744.2,115.0,224.9,4318.6,0.9720,identical
e1pp_b500_f100,500,1,avx,217.391,4.6,,,,,,,0.9720,identical
e1pp_b1000_000,1000,0,scalar,208.333,4.8,,,4706.4,114.4,206.7,4299.5,0.9720,identical
e1pp_b1000_f025,1000,0.25,scalar,164.619,6.1,56.878,164.591,4705.6,114.4,219.3,4296.6,0.9720,identical
e1pp_b1000_f050r,1000,0.5,scalar,112.071,8.9,112.070,110.779,4726.7,114.6,221.4,4299.8,0.9720,identical
"(dead: f=0.65 bi=1000 scalar GPF 3/3, ip 0x25d0)",1000,0.65,,,,,,,,,,,
e1pp_b1000_f075,1000,0.75,scalar,168.505,5.9,168.504,56.849,4744.2,115.0,227.2,4323.9,0.9720,identical
e1pp_b1000_f100,1000,1,scalar,227.273,4.4,,,,,,,0.9720,identical
