# AiSAQ S5 matrix — engine PQ two-stage (ADC route + full-precision rerank)
# n=1000 queries, k=10; knobs: adc-ns = /tmp/femu-adc-ns, comp-ns = /tmp/femu-compute-ns
# exec_ns = engine exec per query (billing+page-walk); rerank/code_pages/vec_pages = per-query engine counters
arm,blob,ef,R,adc_ns,comp_ns,QPS,p50_ns,p90_ns,p99_ns,max_ns,dist_q,hops_q,exec_ns,misses_q,rerank_q,code_pages_q,vec_pages_q,recall10,dump_md5,gate
A0,cyh1_wiki,100,0,0,0,4.2,234681165,307361004,373709495,436540397,4706.4,114.4,238085977,4299.5,0,0,0,0.9720,ec3059fbb6561f67fb2b2402603fbf3c,PASS
A1,aisaq_a1,2048,2048,0,0,3.8,265968218,283536828,295038007,300528635,92393.2,2065.2,264369271,4547.8,2048.0,0.0,2623.7,0.6107,7a50ae34e2e3cc3cb1c2abd907d61460,PASS
A1,aisaq_a1,4096,2048,0,0,2.5,403261240,436499899,455554460,483051429,183385.4,4114.6,401584435,6400.7,2048.0,0.0,2649.5,0.6090,4bcca82a88af9edeabe168b4dbab20fa,RCAP-DIAGNOSTIC
A1,aisaq_a1,4096,4096,0,0,1.9,524658586,560882602,582269860,606278905,183385.4,4114.6,522313380,9034.3,4096.0,0.0,5237.1,0.6984,35b07d3d00815ff35ba7748e79d9c488,PASS
A1,aisaq_a1,2048,2048,50,0,3.7,270726851,288571394,300844434,302658652,92393.2,2065.2,269218650,4547.9,2048.0,0.0,2623.8,0.6107,7a50ae34e2e3cc3cb1c2abd907d61460,KNOB
A1,aisaq_a1,2048,2048,200,0,3.5,283133310,302377469,315229388,320057547,92393.2,2065.2,281753802,4547.8,2048.0,0.0,2623.7,0.6107,7a50ae34e2e3cc3cb1c2abd907d61460,KNOB
A1,aisaq_a1,2048,2048,0,500,3.8,267855022,286189339,298414425,303848235,92393.2,2065.2,266386920,4547.8,2048.0,0.0,2623.7,0.6107,7a50ae34e2e3cc3cb1c2abd907d61460,KNOB
A1,aisaq_a1,2048,2048,50,500,3.7,271920705,290763325,301960740,305658436,92393.2,2065.2,270315152,4547.8,2048.0,0.0,2623.7,0.6107,7a50ae34e2e3cc3cb1c2abd907d61460,KNOB
A1,aisaq_a1,2048,2048,200,500,3.5,283608712,302083783,316340284,321005220,92393.2,2065.2,282149588,4547.8,2048.0,0.0,2623.7,0.6107,7a50ae34e2e3cc3cb1c2abd907d61460,KNOB
A2,aisaq_a2,2048,2048,0,0,0.5,1823264050,2661137924,3294300206,3546948871,92393.2,2065.2,1865841908,33947.3,2048.0,26061.8,2522.9,0.6107,7a50ae34e2e3cc3cb1c2abd907d61460,PASS
